-	Sonde 1	Sonde 2	Hygro 1	Trappes 1	Chauffage 1	Lumiere 1	Lumiere 2	Lumiere 3	Depression 1	Consigne Temp	Consigne Hygro	Paliers	Poids Femelles	Temperature moyenne	Temperature exterieure	CO2	Réel femelles	Luxmetre	Inter Crepuscule	Occultant 1	
Date	°C	°C	%	%	%	%	%	%	pa	°	%	0	g	°C	°C	ppm	g	lux	None	%	
2023-05-23 09:15:00	25.5	24.8	40	0	0	0	50	80	0	25	55	1	40	25.1	13.8	593	0	7	0	100	
2023-05-23 09:20:00	25.5	24.9	40	0	0	0	50	80	0	25	55	1	40	25.2	13.9	593	0	6	0	100	
2023-05-23 09:25:00	25.5	24.9	40	0	0	0	50	80	0	25	55	1	40	25.2	13.8	578	0	6	0	100	
2023-05-23 09:30:00	25.4	24.8	40	0	0	0	50	80	0	25	55	1	40	25.1	13.9	593	0	9	0	100	
2023-05-23 09:35:00	25.3	24.7	40	0	0	0	50	80	1	25	55	1	40	25	13.9	593	0	9	0	100	
2023-05-23 09:40:00	25.2	24.5	40	0	40	0	50	80	0	25	55	1	40	24.8	13.8	593	0	12	0	100	
2023-05-23 09:45:00	25.1	24.4	40	0	40	0	50	80	0	25	55	1	40	24.7	13.9	593	0	17	0	100	
2023-05-23 09:50:00	25.1	24.5	40	0	40	0	50	80	0	25	55	1	40	24.8	14.1	593	0	19	0	100	
2023-05-23 09:55:00	25.2	24.5	40	0	40	0	50	80	0	25	55	1	40	24.8	14.2	593	0	22	0	100	
2023-05-23 10:00:00	25.3	24.6	40	0	20	0	50	80	0	25	55	1	40	24.9	14.2	578	0	22	0	100	
2023-05-23 10:05:00	25.5	24.8	39	0	0	0	50	80	0	25	55	1	40	25.1	14.6	593	0	24	0	100	
2023-05-23 10:10:00	25.6	24.9	39	0	0	0	50	80	0	25	55	1	40	25.2	14.7	593	0	26	0	100	
2023-05-23 10:15:00	25.6	24.9	39	0	0	0	50	80	2	25	55	1	40	25.2	14.7	578	0	28	0	100	
2023-05-23 10:20:00	25.5	24.9	39	0	0	0	50	80	0	25	55	1	40	25.2	14.6	578	0	14	0	100	
2023-05-23 10:25:00	25.3	24.7	39	0	0	0	50	80	0	25	55	1	40	25	14.7	593	0	23	0	100	
2023-05-23 10:30:00	25.1	24.5	40	0	20	0	50	80	0	25	55	1	40	24.8	14.6	625	0	17	0	100	
2023-05-23 10:35:00	25.1	24.4	40	0	40	50	50	80	0	25	55	1	40	24.7	14.5	593	0	38	0	100	
2023-05-23 10:40:00	25.1	24.3	40	0	40	25	50	80	0	25	55	1	40	24.7	14.8	609	0	38	0	100	
2023-05-23 10:45:00	25.2	24.4	40	0	60	39	50	80	0	25	55	1	40	24.8	15.1	640	0	38	0	100	
2023-05-23 10:50:00	25.3	24.6	39	0	20	17	50	80	0	25	55	1	40	24.9	15	625	0	40	0	100	
2023-05-23 10:55:00	25.3	24.7	39	0	20	17	50	80	0	25	55	1	40	25	15.3	609	0	43	0	100	
2023-05-23 11:00:00	25.4	24.8	39	0	0	17	50	80	0	25	55	1	40	25.1	15.1	609	0	45	0	100	
2023-05-23 11:05:00	25.5	24.9	39	0	0	14	50	80	0	25	55	1	40	25.2	15.1	609	0	34	0	100	
2023-05-23 11:10:00	25.6	24.9	39	0	0	8	50	80	0	25	55	1	40	25.2	15.2	812	0	36	0	100	
2023-05-23 11:15:00	25.5	24.8	39	0	0	16	50	80	0	25	55	1	40	25.1	15.2	640	0	37	0	100	
2023-05-23 11:20:00	25.4	24.8	39	0	0	0	50	80	0	25	55	1	40	25.1	15.5	625	0	42	0	100	
2023-05-23 11:25:00	25.3	24.6	39	0	0	0	50	80	0	25	55	1	40	24.9	15.8	609	0	43	0	100	
2023-05-23 11:30:00	25.2	24.5	39	0	40	5	50	80	0	25	55	1	40	24.8	15.8	625	0	37	0	100	
2023-05-23 11:35:00	25.2	24.4	40	0	40	10	50	80	0	25	55	1	40	24.8	15.9	625	0	45	0	100	
2023-05-23 11:40:00	25.3	24.5	39	0	40	10	50	80	0	25	55	1	40	24.9	16.1	625	0	45	0	100	
2023-05-23 11:45:00	25.4	24.6	39	0	0	0	50	80	0	25	55	1	40	25	15.9	625	0	45	0	100	
2023-05-23 11:50:00	25.5	24.8	39	0	0	0	50	80	0	25	55	1	40	25.1	16.1	640	0	45	0	100	
2023-05-23 11:55:00	25.5	24.9	39	0	0	0	50	80	2	25	55	1	40	25.2	16.3	609	0	45	0	100	
2023-05-23 12:00:00	25.4	24.8	39	0	0	0	50	80	0	25	55	1	40	25.1	16.2	609	0	45	0	100	
2023-05-23 12:05:00	25.4	24.7	39	0	0	0	50	80	0	25	55	1	40	25	16.3	609	0	45	0	100	
